path,type,required,label,opendata,master,description,validation,thesaurus
"REF","String","oui","","","","Référence unique de la notice","Alphanumeric",""
"PRODUCTEUR","String","non","","","","","",""
"BASE","String","non","","","true","Nom de la base : Patrimoine architectural (Mérimée)","",""
"CONTIENT_IMAGE","String","non","","","true","Champ généré à chaque sauvegarde de la notice. Si notice contient des images, la valeur du champs sera oui', sinon 'non'. Ce champs est utilisé pour l'affichage de la phototèque mais pourrait être supprimé et remplacer par une fonction exist dans ES","",""
"MEMOIRE","Array","non","","","","","",""
"POP_COORDONNEES.lat","Number","non","","","true","Latitude de la notice en WGS84","",""
"POP_COORDONNEES.lon","Number","non","","","true","Longitude de la notice en WGS84","",""
"POP_CONTIENT_GEOLOCALISATION","String","non","","","true","Champ généré à chaque sauvegarde de la notice. Si notice contient des une géolocalisation, la valeur du champs sera 'oui', sinon 'non'","",""
"POP_COORDINATES_POLYGON.type","String","non","","","","","",""
"POP_COORDINATES_POLYGON.coordinates","Array","non","","","","","",""
"POP_DATE","Array","non","","","true","Champ qui sera utilisé pour traduire les date en format requetable","",""
"POP_IMPORT","Array","non","","","","","",""
"TOUT","String","non","","","","Champs qui devait contenir tous les champs dans mistral. Aujourd'hui est vide [DEPRECIE ?]","",""
"ACTU","String","non","","","","Destinations successives et actuelle ","",""
"ADRS","String","non","","","","Adresse","",""
"AFFE","String","non","","","","Affectataire","","http://data.culture.fr/thesaurus/resource/ark:/67717/T97"
"AIRE","String","non","","","","Aire d'étude","",""
"APPL","String","non","","","","Appellation et titre","",""
"APRO","Array","non","","","","","","http://data.culture.fr/thesaurus/resource/ark:/67717/T98"
"ARCHEO","String","non","","","","Référence dans la base Patriarche","",""
"AUTP","Array","non","","","","Auteurs phototype","",""
"AUTR","Array","non","","","","Auteurs de l'oeuvre","",""
"CADA","Array","non","","","","Référence cadastrale","",""
"CANT","String","non","","","","Canton","",""
"COLL","Array","non","","","","Décompte des oeuvres recensées","",""
"COM","String","non","","","","Commune","",""
"COOR","String","non","","","","Coordonnées Lambert (ou autres) d'un points","",""
"COORM","String","non","","","","Coordonnées Lambert (ou autres) multiples","",""
"COPY","Array","non","","","","CopyRight","","http://data.culture.fr/thesaurus/resource/ark:/67717/T21"
"COUV","Array","non","","","","Type de la couverture","","http://data.culture.fr/thesaurus/resource/ark:/67717/T26"
"DATE","Array","non","","","","Date protection","",""
"DBOR","String","non","","","","Date de rédaction de la notice","",""
"DOMN","Array","non","","","","Domaines","",""
"DENO","Array","non","","","","Dénomination ","","http://data.culture.fr/thesaurus/resource/ark:/67717/T96"
"DENQ","String","non","","","","Date d'enquête","",""
"DEPL","String","non","","","","Partie déplacée","","http://data.culture.fr/thesaurus/resource/ark:/67717/T14"
"DESC","String","non","","","","Commentaire description","",""
"DIMS","String","non","","","","Dimensions","","http://data.culture.fr/thesaurus/resource/ark:/67717/T11"
"DMAJ","String","non","","","true","Date de la dernière mise à jour","",""
"DMIS","String","non","","","true","Date de la création POP/Mistral","",""
"DOSS","String","non","","","","Dossier","","http://data.culture.fr/thesaurus/resource/ark:/67717/T13"
"DPRO","String","non","","","","Date protection","",""
"DPT","String","non","","","","Département","",""
"EDIF","String","non","","","","Edifice de conservation","",""
"ELEV","Array","non","","","","Parti d’élévation extérieure","","http://data.culture.fr/thesaurus/resource/ark:/67717/T25"
"ENER","Array","non","","","","Source de l'énergie","","http://data.culture.fr/thesaurus/resource/ark:/67717/T27"
"ESCA","Array","non","","","","Emplacement, forme et structure de l’escalier ","","http://data.culture.fr/thesaurus/resource/ark:/67717/T29"
"ETAG","Array","non","","","","Vaisseau et étage","","http://data.culture.fr/thesaurus/resource/ark:/67717/T23"
"ETAT","Array","non","","","","Etat de conservation","","http://data.culture.fr/thesaurus/resource/ark:/67717/T30"
"ETUD","Array","non","","","","Parties non étud","","http://data.culture.fr/thesaurus/resource/ark:/67717/T68"
"GENR","Array","non","","","","Destinataire","","http://data.culture.fr/thesaurus/resource/ark:/67717/T197"
"HIST","String","non","","","","Commentaire historique","",""
"HYDR","String","non","","","","Cours d'eau","",""
"IMPL","Array","non","","","","Milieu d'implantation","","http://data.culture.fr/thesaurus/resource/ark:/67717/T12"
"INSEE","String","non","","","","Numéro INSEE de la commune","",""
"INTE","Array","non","","","","Intérêt de l'oeuvre","","http://data.culture.fr/thesaurus/resource/ark:/67717/T33"
"JATT","Array","non","","","","Justification de l'attribution","",""
"JDAT","Array","non","","","","Justification de la datation","",""
"LBASE2","String","non","","","","[PAS affiché]","",""
"LIEU","String","non","","","","Lieu-dit","",""
"LOCA","String","non","","","","Localisation ","",""
"MFICH","String","non","","","","[PAS affiché]","",""
"MOSA","String","non","","","","Mosaïques","",""
"MHPP","String","non","","","","Eléments protégés MH","",""
"MICR","String","non","","","","Numéro de microfiche","",""
"MURS","Array","non","","","","Matériau du gros-oeuvre et mise en oeuvre ","",""
"NBOR","String","non","","","","no Bordereaus","",""
"NOMS","Array","non","","","","Noms des rédacteurs de la notice et du dossier","",""
"OBS","String","non","","","","Observations","",""
"PAFF","String","non","","","","Précisions sur l'affectataire ","",""
"PART","Array","non","","","","Parties constituantes","",""
"PARN","Array","non","","","","Parties non étud","",""
"PDEN","String","non","","","","Précision sur la dénomination","",""
"PERS","Array","non","","","","Personnalitées","",""
"PLAN","String","non","","","","Parti de plan","",""
"PLOC","String","non","","","","Précision sur la localisation","",""
"PPRO","String","non","","","","Précisions sur la protection MH","",""
"PREP","Array","non","","","","Précision sur la représentation","",""
"PROT","Array","non","","","","Nature de la protection MH","",""
"PSTA","String","non","","","","Précisions sur le statut de la propriété","",""
"REFE","Array","non","","","","Référence de l'édifice de conservation","",""
"REFP","Array","non","","","","Références des parties constituantes étudiées","",""
"REFO","Array","non","","","","REFO","",""
"REG","String","non","","","","Region","",""
"REMA","String","non","","","","Eléments remarquables","",""
"REMP","String","non","","","","Remploi","",""
"RENV","Array","non","","","","N° de renvoi au domaine MH ou au domaine INVENTAIRE","",""
"REPR","String","non","","","","Représentation ","",""
"RFPA","String","non","","","","Identifiant Patrimoine","",""
"SCLD","Array","non","","","","Datation des campagnes secondaires de construction","",""
"SCLE","Array","non","","","","Datation des campagnes principales de construction","",""
"SCLX","Array","non","","","","[PAS affiché]","",""
"SITE","String","non","","","","Site, secteur ou zone de protection","",""
"STAT","String","non","","","","Statut de la propriété","",""
"TECH","Array","non","","","","Technique du décor des immeubles par nature ","",""
"TICO","String","non","","","","Titre courant","",""
"TOIT","Array","non","","","","Matériau de la couverture ","",""
"TYPO","String","non","","","","Typologie ","",""
"VERT","String","non","","","","Couvert et découvert de jardin ","",""
"REFIM","String","non","","","","[PAS affiché]","",""
"IMG","Array","non","","","","[PAS affiché]","",""
"VIDEO","String","non","","","","[PAS affiché]","",""
"DOSURL","String","non","","","","Dossier URL","",""
"DOSURLPDF","String","non","","","true","Dossier PDF","",""
"DOSADRS","String","non","","","","Dossier adresse","",""
"LIENS","Array","non","","","","Liens Divers","",""
"IMAGE","String","non","","","","[PAS affiché]","",""
"VISI","Array","non","","","","Ouverture au public","",""
"VOCA","String","non","","","","Vocable ","",""
"VOUT","Array","non","","","","Type et nature du couvrement ","",""
"WEB","String","non","","","","Visite guidé","",""
"ZONE","String","non","","","","Zone Lambert ou autres","",""
"THEM","String","non","","","","Thème ","",""
"ACMH","String","non","","","","[PAS affiché]","",""
"ACURL","String","non","","","","[PAS affiché]","",""
"WADRS","String","non","","","","[PAS affiché]","",""
"WCOM","String","non","","","","[PAS affiché]","",""
"WRENV","String","non","","","","[PAS affiché]","",""
"REFM","String","non","","","","[PAS affiché]","",""
"CONTACT","String","non","","","true","Contact ","email",""
"IDAGR","String","non","","","","[PAS affiché]","",""
"LMDP","String","non","","","","[PAS affiché]","",""
"PINT","String","non","","","","intérêt oeuvre","",""
"DLAB","String","non","","","","Date du label","",""
"_id","ObjectID","non","","","","","",""
"__v","Number","non","","","","","",""
