path,type,required,label,opendata,generated,description,validation,thesaurus
"REF","String","non","","","","","",""
"TOUT","String","non","","","","","",""
"ACCES","String","non","","","","","",""
"ACTIV","String","non","","","","","",""
"ADRESSE","String","non","","","","","",""
"ADRL1_M","String","non","","","","","",""
"AMIS","String","non","","","","","",""
"AN_CREAT","String","non","","","","","",""
"ANNEE_FE","String","non","","","","","",""
"ANNEXE","String","non","","","","","",""
"ANTARIF","String","non","","","","","",""
"ARTISTE","String","non","","","","","",""
"ATOUT","String","non","","","","","",""
"CEDEX_AD","String","non","","","","","",""
"COPY","String","non","","","","","",""
"CP_M","String","non","","","","","",""
"CTRLTECH","String","non","","","","","",""
"DOMPAL","String","non","","","","","",""
"DPT","String","non","","","","","",""
"DT_CREAT","String","non","","","","","",""
"DT_MODIF","String","non","","","","","",""
"DT_SAISI","String","non","","","","","",""
"GESTION","String","non","","","","","",""
"HIST","String","non","","","","","",""
"INTERET","String","non","","","","","",""
"ITI2_M","String","non","","","","","",""
"ITI_M","String","non","","","","","",""
"JOCONDE","String","non","","","","","",""
"LABEL","String","non","","","","","",""
"LEGS","String","non","","","","","",""
"LIEU_M","String","non","","","","","",""
"MEL","String","non","","","","","",""
"MONOPLUR","String","non","","","","","",""
"NB_AMI","String","non","","","","","",""
"NOM_AMI","String","non","","","","","",""
"NOMANC","String","non","","","","","",""
"NOMOFF","String","non","","","","","",""
"NOMUSAGE","String","non","","","","","",""
"OBS_AMI","String","non","","","","","",""
"OBS_TOUR","String","non","","","","","",""
"PHARE","String","non","","","","","",""
"PROPBAT","String","non","","","","","",""
"PROPCOLL","String","non","","","","","",""
"PROT","String","non","","","","","",""
"PUBLI","String","non","","","","","",""
"REGION","String","non","","","","","",""
"REPCOLL","String","non","","","","","",""
"SERVICES","String","non","","","","","",""
"SIGLE_M","String","non","","","","","",""
"STATUT","String","non","","","","","",""
"SURFACES","String","non","","","","","",""
"TEL_M","String","non","","","","","",""
"THEMES","String","non","","","","","",""
"URL_M2","String","non","","","","","",""
"URL_M","String","non","","","","","",""
"VIDEO","String","non","","","","","",""
"VILLE_M","String","non","","","","","",""
"RESP","String","non","","","","","",""
"GRESP","String","non","","","","","",""
"PSC","String","non","","","","","",""
"DPSC","String","non","","","","","",""
"DMDF","String","non","","","","","",""
"SPUB","String","non","","","","","",""
"INVR","String","non","","","","","",""
"NUMER","String","non","","","","","",""
"LGN","String","non","","","","","",""
"REST","String","non","","","","","",""
"ACQU","String","non","","","","","",""
"RECOL","String","non","","","","","",""
"location.lat","Number","non","","","","","",""
"location.lon","Number","non","","","","","",""
"_id","ObjectID","non","","","","","",""
"__v","Number","non","","","","","",""
