path,type,required,label,opendata,generated,description,validation,thesaurus
"PRODUCTEUR","String","non","Producteur","","true","Producteur de la donnée déterminé grâce à la référence : 

      IV=INV

      OA=CAOA

      MH=CRMH

      AR=ARCH

      AP=SDAP

      Autre=SAP","",""
"BASE","String","non","","","true","Nom de la base : Photographies (Mémoire)","",""
"CONTIENT_IMAGE","String","non","","","true","Champ généré à chaque sauvegarde de la notice. Si notice contient des images, la valeur du champs sera oui', sinon 'non'. Ce champs est utilisé pour l'affichage de la phototèque mais pourrait être supprimé et remplacer par une fonction exist dans ES","",""
"POP_IMPORT","Array","non","","","","","",""
"REF","String","oui","Référence","","true","Référence unique de la notice","",""
"TOUT","String","non","Index global","","","Index global [Peut etre déprécié]","",""
"ADRESSE","String","non","Adresse","","","Adresse","",""
"AUTOEU","String","non","Auteur oeuvre représentée","","","Auteur oeuvre représentée","",""
"AUTG","String","non","Auteur gravure","","","Auteur gravure","",""
"AUTP","String","non","Auteur photo","","","Auteur photo","",""
"AUTOR","String","non","Auteur original","","","Auteur original","",""
"AUTTI","String","non","Auteur tirage","","","Auteur tirage","",""
"COM","String","non","Commune","","","Commune","",""
"DOM","String","non","Domaine","","","Domaine","",""
"EDIF","String","non","Nom édifice","","","Nom édifice","",""
"EXPO","String","non","","","","Référence d’exposition de l’image ","",""
"JDATPV","String","non","Justif date pv","","","Justif date pv","",""
"LIEUCOR","String","non","Lieu cons orig.","","","Lieu cons orig.","",""
"COTECOR","String","non","Cote cons orig.","","","Cote cons orig. ","",""
"LIEUCTI","String","non","Lieu cons tir.","","","Lieu cons tir. ","",""
"COTECTI","String","non","Cote conservation du tirage","","","Cote conservation du tirage ","",""
"LIEUCP","String","non","Lieu cons pho.","","","Lieu cons pho.","",""
"COTECP","String","non","COTECP","","","Cote conservation du phototype","",""
"LEG","String","non","Légende","","","Légende ","",""
"OBJT","String","non","Nom objet","","","Nom objet","",""
"OBS","String","non","Obs phototype","","","Obs phototype","",""
"OBSOR","String","non","Obs original","","","Obs original","",""
"OBSTI","String","non","Obs tirage","","","Obs tirage","",""
"PAYS","String","non","Pays","","","Pays","",""
"PUBLI","String","non","Publication","","","Publication ","",""
"TIREDE","String","non","Pub. photograph.","","","Pub. photograph.","",""
"ROLE","String","non","","","","","",""
"PRECOR","String","non","Préc original","","","Préc original","",""
"SERIE","String","non","Titre série","","","Titre série","",""
"THEATRE","String","non","Nom de théâtre","","","Nom de théâtre","",""
"TITRE","String","non","Titre","","","Titre","",""
"DMAJ","String","non","Date mise à jour ","","true","Date de la dernière mise à jour","",""
"DMIS","String","non","Date Mistral","","true","Date de la création POP/Mistral","",""
"IDPROD","String","non","Emetteur (nom)","","","Emetteur (nom) ","",""
"NUMCD","String","non","Numéro CD","","","Numéro CD","",""
"NUMF","String","non","No de fond","","","No de fond","",""
"INSEE","String","non","Code INSEE","","","Code INSEE","",""
"NVD","String","non","vidéodisque","","","vidéodisque","",""
"MARQ","String","non","Ordre images","","","Ordre images","",""
"ACC","String","non","Accessoire pose","","","Accessoire pose","",""
"ACQU","String","non","Acquisition","","","Acquisition","",""
"ADPHOT","String","non","Adresse personne","","","Adresse personne ","",""
"AIRE","String","non","Aire d'étude","","","Aire d'étude","",""
"ANUMP","String","non","Ancien numéro (ancienne cote du phototype)","","","Ancien numéro (ancienne cote du phototype)","",""
"COPY","String","non","Crédit photo","","","Crédit photo ","",""
