path,type,required,label,opendata,master,description,validation,thesaurus
"PRODUCTEUR","String","non","","","","","",""
"CONTIENT_IMAGE","String","non","","","true","Champ généré à chaque sauvegarde de la notice. Si notice contient des images, la valeur du champs sera oui', sinon 'non'. Ce champs est utilisé pour l'affichage de la phototèque mais pourrait être supprimé et remplacer par une fonction exist dans ES","",""
"POP_COORDONNEES.lat","Number","non","","","true","Latitude de la notice en WGS84","",""
"POP_COORDONNEES.lon","Number","non","","","true","Longitude de la notice en WGS84","",""
"POP_CONTIENT_GEOLOCALISATION","String","non","","","","","",""
"POP_COORDINATES_POLYGON.type","String","non","","","","","",""
"POP_COORDINATES_POLYGON.coordinates","Array","non","","","","","",""
"BASE","String","non","","","true","Nom de la base : Patrimoine mobilier (Palissy)","",""
"MEMOIRE","Array","non","","","","","",""
"REF","String","oui","","","","Référence unique de la notice","Alphanumeric",""
"POP_IMPORT","Array","non","","","","","",""
"ACQU","String","non","","","","[PAS AFFICHE]","",""
"ADRS","String","non","","","","Adresse ","",""
"ADRS2","String","non","","","","[PAS AFFICHE]","",""
"AFIG","Array","non","","","","Auteur(s) de la source figurée","",""
"AIRE","String","non","","","","Aire d'étude","",""
"APPL","String","non","","","","Appellation et titre","",""
"ATEL","String","non","","","","Nom de l’atelier, de la manufacture, de la fabrique ou de l’école ","",""
"AUTP","String","non","","","","Auteurs phototype","",""
"AUTR","Array","non","","","","Auteurs de l'oeuvre","",""
"BIBL","String","non","","","","[PAS AFFICHE]","",""
"CANT","String","non","","","","Canton ","",""
"CATE","Array","non","","","","Catégorie technique","",""
"COM","String","non","","","","Commune ","",""
"COM2","String","non","","","","[PAS AFFICHE]","",""
"CONTACT","String","non","","","true","Contact ","email",""
"COOR","String","non","","","","Coordonnées Lambert (ou autres) d'un points ","",""
"COORM","String","non","","","","Coordonnées Lambert (ou autres) multiples ","",""
"COPY","String","non","","","","CopyRight","",""
"DATE","Array","non","","","","Datation en années","",""
"DBOR","Array","non","","","","Date de rédaction de la notice","",""
"DENO","Array","non","","","","Dénomination ","","http://data.culture.fr/thesaurus/resource/ark:/67717/T69"
"DENQ","Array","non","","","","Date d'enquête","",""
"DEPL","String","non","","","","Partie déplacée","",""
"DESC","String","non","","","","Commentaire description","",""
"DIMS","String","non","","","","Dimensions ","",""
"DMAJ","String","non","","","true","Date de la dernière mise à jour","",""
"DMIS","String","non","","","true","Date de la création POP/Mistral","",""
"DOMN","String","non","","","","Domaines ","",""
"DOSADRS","String","non","","","","Dossier adresse","",""
"DOSS","Array","non","","","","Dossier ","",""
"DOSURL","String","non","","","","Dossier URL","",""
"DOSURLPDF","String","non","","","true","Dossier PDF ","",""
"DPRO","String","non","","","","Date protection","",""
"DPT","String","non","","","","Département ","",""
"EDIF","String","non","","","","Edifice de conservation","",""
"EDIF2","String","non","","","","[PAS AFFICHE]","",""
"EMPL","String","non","","","","Emplacement de l’œuvre dans l’édifice","",""
"EMPL2","String","non","","","","[PAS AFFICHE]","",""
"ETAT","Array","non","","","","Etat de conservation","",""
"ETUD","String","non","","","","Parties non étud","",""
"EXEC","String","non","","","","Nom actuel ou historique du lieu d’exécution ","",""
"EXPO","String","non","","","","[PAS AFFICHE]","",""
"HIST","String","non","","","","Commentaire historique","",""
"IDAGR","Array","non","","","","[PAS AFFICHE]","",""
"IMAGE","String","non","","","","[PAS AFFICHE]","",""
"IMG","Array","non","","","","[PAS AFFICHE]","",""
"IMPL","String","non","","","","Milieu d'implantation","","http://data.culture.fr/thesaurus/resource/ark:/67717/T12"
"INSC","Array","non","","","","Inscriptions, marques, emblématique et poinçons","",""
"INSEE","String","non","","","","Numéro INSEE de la commune","",""
"INSEE2","String","non","","","","[PAS AFFICHE]","",""
"INTE","String","non","","","","Intérêt de l'oeuvre","","http://data.culture.fr/thesaurus/resource/ark:/67717/T33"
"JDAT","Array","non","","","","Justification de la datation","",""
"LBASE2","String","non","","","","[PAS AFFICHE]","",""
"LIENS","Array","non","","","","Liens Divers","",""
"LIEU","String","non","","","","Lieu-dit ","",""
"LMDP","String","non","","","","[PAS AFFICHE]","",""
"LOCA","String","non","","","","Localisation ","",""
"MATR","Array","non","","","","Matériaux ","",""
"MFICH","Array","non","","","","[PAS AFFICHE]","",""
"MICR","String","non","","","","Numéro de microfiche","",""
"MOSA","String","non","","","","Mosaïques ","",""
"NART","String","non","","","","Numérotation artificielle","",""
"NINV","String","non","","","","[PAS AFFICHE]","",""
"NOMS","Array","non","","","","Noms des rédacteurs de la notice et du dossier ","",""
"NUMA","String","non","","","","[PAS AFFICHE]","",""
"NUMP","String","non","","","","[PAS AFFICHE]","",""
"OBS","String","non","","","","Observations ","",""
"ORIG","String","non","","","","Origine de l’œuvre (lieu de provenance ou de destination)","",""
"PAPP","String","non","","","","Préc. appart","",""
"PARN","Array","non","","","","Parties non étud","",""
"PART","Array","non","","","","Parties constituantes","",""
"PDEN","Array","non","","","","Précision sur la dénomination","",""
"PDIM","String","non","","","","Précisions sur les dimensions","",""
"PERS","Array","non","","","","Personnalitées ","","http://data.culture.fr/thesaurus/resource/ark:/67717/T6"
"PETA","String","non","","","","Précisions sur l’état de conservation","",""
"PHOTO","String","non","","","","[PAS AFFICHE]","",""
"PINS","String","non","","","","Précisions sur les inscriptions, marques, emblématique et poinçons ","",""
"PINT","String","non","","","","Intérêt oeuvre","",""
"PLOC","String","non","","","","Précision sur la localisation","",""
"PPRO","String","non","","","","Précisions sur la protection MH","",""
"PREP","String","non","","","","Précision sur la représentation","",""
"PROT","String","non","","","","Nature de la protection MH","","http://data.culture.fr/thesaurus/resource/ark:/67717/T10"
"REFA","Array","non","","","","Référence de l'édifice de conservation","",""
"REFE","Array","non","","","","Référence de l’ensemble ou de l'oeuvre","",""
"REFM","String","non","","","","[PAS AFFICHE]","",""
"REFP","Array","non","","","","Références des parties constituantes étudiées ","",""
"REG","String","non","","","","Region ","",""
"RENP","Array","non","","","","[PAS AFFICHE]","",""
"RENV","Array","non","","","","N° de renvoi au domaine MH ou au domaine INVENTAIRE","",""
"REPR","Array","non","","","","Représentation ","",""
"SCLD","Array","non","","","","[PAS AFFICHE]","",""
"SCLE","Array","non","","","","Datation des campagnes principales de construction ","","http://data.culture.fr/thesaurus/resource/ark:/67717/T17"
"SCLX","Array","non","","","","[PAS AFFICHE]","",""
"SOUR","String","non","","","","[PAS AFFICHE]","",""
"STAD","Array","non","","","","Stade de la création","",""
"STAT","Array","non","","","","Statut de la propriété","",""
"STRU","Array","non","","","","Structure et typologie","",""
"THEM","String","non","","","","Thème ","",""
"TICO","String","non","","","","Titre courant","",""
"TITR","String","non","","","","[PAS AFFICHE]","",""
"TOUT","String","non","","","","[PAS AFFICHE]","",""
"VIDEO","Array","non","","","","[PAS AFFICHE]","",""
"VOLS","String","non","","","","Objet(s) volé(s)","",""
"WADRS","String","non","","","","[PAS AFFICHE]","",""
"WCOM","String","non","","","","[PAS AFFICHE]","",""
"WEB","String","non","","","","Visite guidé ","",""
"WRENV","String","non","","","","[PAS AFFICHE]","",""
"ZONE","String","non","","","","Zone Lambert ou autre","",""
"_id","ObjectID","non","","","","","",""
"__v","Number","non","","","","","",""
