path,type,required,label,opendata,generated,description,thesaurus,label_mh,listeAutorite,idthesaurus
"REF","String","oui","Référence de la notice","","","","","","",""
"ISNI","String","non","Référence ISNI à consulter","","","","","","",""
"ISNI_VERIFIEE","String","non","Référence ISNI confirmée","","","","","","",""
"ALIAS","Array","non","Autre forme du nom","","","","","","",""
"BIBLIO","String","non","Bibliographie","","","","","","",""
"BIO","String","non","Biographie","","","","","","",""
"CONTACT","String","non","Contact","","","","","","",""
"COPY","String","non","Copyright de la notice","","","","","","",""
"DMORT","String","non","Date de décès","","","","","","",""
"DNAISS","String","non","Date de naissance","","","","","","",""
"EXPO","String","non","Expositions","","","","","","",""
"FONC","Array","non","Profession","","","","","","",""
"VIDEO","String","non","VIDEO","","","","","","",""
"LIENS","String","non","Liens externes","","","","","","",""
"LMDP","String","non","Liens vers Médiathek","","","","","","",""
"LMORT","String","non","Lieux de décès","","","","","","",""
"LNAISS","String","non","Lieu de naissance","","","","","","",""
"AUTORLOCA","String","non","Localisation","","","","","","",""
"NATIO","String","non","Nationnalités","","","","","","",""
"NOM","String","non","Nom","","","","","","",""
"PREN","String","non","Prénom","","","","","","",""
"PNOM","String","non","Précision sur le nom","","","","","","",""
"TYPAPE","String","non","Type d'appellation","","","","","","",""
"REJET","Array","non","Forme rejetée du nom","","","","","","",""
"OEUVR","String","non","Oeuvre réalisée","","","","","","",""
"PUBLI","String","non","Publications","","","","","","",""
"ALAMAP","Array","non","Fonds en référence à la MAP","","","","","","",""
"PRODUCTEUR","String","non","Producteur","","true","","","","",""
"REDAC","String","non","Nom du rédacteur","","","","","","",""
"LRELA","String","non","Personnes associées","","","","","","",""
"SOURCES","String","non","Sources","","","","","","",""
"TITR","Array","non","Titres","","","","","","",""
"TYPID","Array","non","Personne physique ou morale","","","","","","",""
"ARK","String","non","Liens ARK","","","","","","",""
"OBS","String","non","Observations","","","","","","",""
"BASE","String","non","Nom de la base","","","","","","",""
"INI","String","non","Initiales","","","","","","",""
"ADRS","String","non","Adresse","","","","","","",""
"SCLE","Array","non","Siècle d'activité","","","","http://data.culture.fr/thesaurus/resource/ark:/67717/T17","","",""
"DATES","Array","non","Période d'activités","","","","","","",""
"FORM","String","non","Formateur","","","","","","",""
"SYMB","String","non","Symbole (pour les orfèvres)","","","","","","",""
"INS","String","non","Date d'insculpation (pour les orfèvres)","","","","","","",""
"GAR","String","non","Numéro du registre de la garantie (pour les orfèvres)","","","","","","",""
"PREF","String","non","Numéro du registre de la préfecture (pour les orfèvres)","","","","","","",""
"BIF","String","non","Date de biffage (pour les orfèvres)","","","","","","",""
"LOCACT","String","non","Lieu d'activités","","","","","","",""
"LBASE","Array","non","Liens autres bases","","","","","","",""
"MEMOIRE","Array","non","","","","","","","",""
"NOMPRENOM","String","non","Nom complet","","","","","","",""
"CONTIENT_IMAGE","String","non","Contient une image ou non","","","","","","",""
"DMAJ","String","non","Date de dernière modification","","true","","","","",""
"POP_FLAGS","Array","non","Alertes POP","","true","Informations et avertissements techniques","","","",""
"DMIS","String","non","Date de création de la notice","","true","","","","",""
"HISTORIQUE","Array","non","","","","","","","",""
"_id","ObjectID","non","","","","","","","",""
"__v","Number","non","","","","","","","",""
