path,type,required,label,opendata,generated,description,thesaurus
"PRODUCTEUR","String","non","Producteur","","true","Producteur de la donnée : MUSEE",""
"BASE","String","non","Nom de la base","","true","Nom de la base : Collections des musées de France (Joconde)",""
"CONTIENT_IMAGE","String","non","Contient une image","","true","Champ généré à chaque sauvegarde de la notice. Si notice contient des images, la valeur du champ sera oui', sinon 'non'. Ce champ est utilisé pour l'affichage de la phototèque mais pourrait être supprimé et remplacer par une fonction exist dans ES",""
"POP_COORDONNEES.lat","Number","non","","","true","Latitude de la notice en WGS84",""
"POP_COORDONNEES.lon","Number","non","","","true","Longitude de la notice en WGS84",""
"POP_CONTIENT_GEOLOCALISATION","String","non","Contient une position","","true","Champ qui permet de savoir si la geolocalisation est disponible ou non",""
"POP_FLAGS","Array","non","Alertes POP","","true","Informations et avertissements techniques",""
"REF","String","oui","Référence","true","","Référence (numéro système de la notice). Doit contenir exactement 11 caractères.",""
"POP_IMPORT","Array","non","","","","",""
"REFMIS","String","non","Référence MAJ","","","Référence de mise à jour",""
"MANQUANT","Array","non","Situation particulière","","","Un bien manquant est un bien inscrit à l’inventaire d’un musée de France qui, à l’issue du récolement décennal et de recherches répétées et infructueuses, n’a pas pu être retrouvé. Depuis 2016, le signalement des biens constatés manquants et volés est une obligation pour permettre d’élargir les recherches.",""
"MANQUANT_COM","String","non","Situation particulière","","","",""
"ADPT","Array","non","Ancien dépôt","true","","Ancien dépôt / changement d’affectation",""
"APPL","String","non","Appellation","true","","Appellation",""
"APTN","String","non","Ancienne appartenance","","","Ancienne appartenance ",""
"ATTR","String","non","Anciennes attributions","","","Anciennes attributions",""
"AUTR","String","non","Auteur","true","","Auteur","http://data.culture.fr/thesaurus/resource/ark:/67717/T513"
"BIBL","String","non","Bibliographie","","","Bibliographie",""
"COMM","String","non","Commentaires","","","Commentaires",""
"CONTACT","String","non","Contact musée","","true","Lien contact musée. Cette information vient de la notice MUSEO et doit être un email valide.",""
"COOR","String","non","Coordinateur","","","Coordinateur",""
"COPY","String","non","Copyright notice","","","Copyright notice",""
"DACQ","String","non","Date acquisition","true","","Date d’acquisition",""
"DATA","String","non","","","","[Peut être déprécié : Pas affiché en production ni en diffusion]  ",""
"DATION","String","non","","","","[Peut être déprécié : Pas affiché en production ni en diffusion]  ",""
"DDPT","String","non","Date de dépôt","true","","Date de dépôt / changement d’affectation",""
"DECV","String","non","Découverte / collecte","true","","Découverte / collecte",""
"DENO","Array","non","Dénomination","true","","Dénomination","http://data.culture.fr/thesaurus/resource/ark:/67717/T505"
"DEPO","String","non","Lieu de dépot","true","","Dépôt / établissement dépositaire","http://data.culture.fr/thesaurus/resource/ark:/67717/T515"
"DESC","String","non","Description","","","Description ",""
